incident_date,country,location,location_type,drone_type,certainty_score,flight_duration,flight_path_summary,description,source_url,source_type
2025-09-27,NL,Amsterdam Schiphol Airport,Airport,Unknown,5,Runway closed 45 min,"Flew at 150m height, came within 50m of aircraft","Unknown drone sighted by pilots, leading to a 45-minute closure of the Polderbaan runway. Investigation yielded no results.",https://tvpworld.com/79832151/netherlands-schiphol-airport-runway-shut-down-due-to-drone-threat,"""dutch_mil_intel"""
2025-11-05,NL,Vliegbasis Gilze-Rijen,Military Base,Unknown,5,Unknown,Spotted above the air traffic control tower.,"Drone spotted over control tower, labeled 'potential espionage'. Marechaussee found nothing. Another drone was seen weeks before.",https.www.upinthesky.nl/2025/11/06/drone-gespot-boven-verkeerstoren-vliegbasis-gilze-rijen/,"""senhive"""
2025-01-01,BE,Doel Nuclear Power Plant,Nuclear Site,Unknown,5,Unknown,Flew over the power plant.,"At least one drone, possibly more, flew over the nuclear plant in 2025. Origin unknown.",https://tvoost.be/nieuws/minstens-een-drone-vloog-boven-kerncentrale-doel-wellicht-pestgedrag-of-om-te-tonen-hoe-kwetsbaar-we-zijn-153157,"""reuters_news"""
2025-01-01,BE,Port of Antwerp,Port,Unknown,4,Unknown,Spotted over the port area.,"Drones were spotted over the Port of Antwerp, prompting an investigation by shipping police.",https://www.redactie24.be/2025/10/26/opnieuw-drones-gezien-boven-belgie-dit-maal-boven-haven-van-antwerpen/,"""belgian_mil_intel"""
2025-11-04,BE,"Brussels, Liège, Mol, Kleine-Brogel, Florennes",Multiple,Unknown,5,Multiple days (Nov 4-7),"Coordinated wave of drone sightings over multiple airports, military bases, and a nuclear site.","Coordinated 'hybrid' campaign with disruptions at Brussels Airport (Nov 4-5), Liège Airport (Nov 6-7), and sightings over SCK CEN, Kleine-Brogel, and Florennes bases.",https://www.washingtonpost.com/world/2025/11/05/belgium-drones-brussels-airport/,"""senhive"""
2025-09-21,FR,Mourmelon-le-Grand Military Base,Military Base,Small drones,5,Unknown,Spotted flying over the base at night.,'Exceptional' incident involving multiple small drones over a key army training base.,https://www.capital.fr/economie-politique/la-base-militaire-de-mourmelon-survolee-par-des-drones-un-incident-exceptionnel-selon-la-defense-1480219,"""military_aviation_forums"""
2025-11-05,DE,Munich Airport,Airport,Unknown,4,Approx 45 min,"Sighted by pilot on approach, runway closed.",Runway was closed for approx 45 mins after a pilot reported a drone during approach. No drone was found by authorities.,https://www.t-online.de/region/muenchen/id_100424304/flughafen-muenchen-drohnen-sichtung-sorgt-fuer-sperrung-der-landebahn.html,"""military_aviation_forums"""
2025-10-04,DE,Munich Airport,Airport,Unknown,5,Multiple days,Multiple sightings over several days.,"Major disruption over several days (Oct 2-4) due to multiple drone sightings, leading to ~170 cancellations and 15 diversions.",https://www.munich-airport.de/mag-drohnen-ueber-dem-flughafen-muenchen-8822851,"""twitter_osint"""
2025-10-31,DE,Berlin Brandenburg Airport (BER),Airport,Unknown,5,Approx 2 hours,Sighted by witness and police patrol.,Flight operations suspended for approximately two hours in the evening after a drone was spotted by a witness and confirmed by a police patrol.,https://www.berliner-abendblatt.de/polizei/brandenburg/drohne-sorgt-fuer-unterbrechung-des-flugbetriebs-am-ber-id325709.html,"""bbc_monitoring"""
2024-08-08,DE,Brunsbüttel Nuclear Power Plant & vicinity,Nuclear Site,Suspected Russian Orlan-10,5,Ongoing since Aug 2024,"Repeated flights over plant, LNG terminal, and chemical park.","Repeated, systematic flights over multiple critical infrastructure sites, including the decommissioned nuclear plant. Official investigation for espionage/sabotage is active.",https://taz.de/Drohnen-ueber-Atomkraftwerk/!6030301/,"""military_aviation_forums"""
2025-04-13,HR,Dubrovnik Airport,Airport,Unknown,4,Unknown,Dangerous approach to a passenger aircraft.,"An unauthorized drone flew dangerously close to a passenger plane, causing the temporary closure of the airport and flight diversions.",https://www.jutarnji.hr/vijesti/crna-kronika/alarm-na-cipilima-zbog-drona-privremeno-zatvorili-zracnu-luku-letovi-preusmjereni-u-split-15183958,"""twitter_osint"""
2025-10-01,PL,Abandoned Airfield (Falcon Autumn Exercise),Military Exercise Area,Unknown,5,Unknown,Jammed communications of Dutch soldiers.,"During NATO exercise 'Falcon Autumn', unidentified drones appeared over an airfield used by Dutch soldiers, causing communication jamming.",https://www.onet.pl/informacje/onetwiadomosci/tajemnicze-drony-nad-polska-armia-wszczela-dochodzenie/hylgq8q,"""reuters_news"""
